Nombre;Email;Teléfono;Curso Interesado;Fecha entrada;Origen del leads
Carlos Pérez;carlos@email.com;600000001;Electricidad;28/07/2025;Google_ads
Lucía Gómez;lucia@email.com;600000002;Hostelería;28/07/2025;Facebook_ads
Antonio Ruiz;antonio@email.com;600000003;Salud;28/07/2025;Telefono
Sara López;sara@email.com;600000004;Electricidad;28/07/2025;Referido
Javier Torres;javier@email.com;600000005;Hostelería;28/07/2025;SEO
Ana Sánchez;ana@email.com;600000006;Electricidad;28/07/2025;Portales
Pedro Morales;pedro@email.com;600000007;Salud;28/07/2025;TikTok_ads
Elena Ortega;elena@email.com;600000008;Hostelería;28/07/2025;Otros
Raúl Díaz;raul@email.com;600000009;Electricidad;28/07/2025;LinkedIn_ads
Marta Navarro;marta@email.com;600000010;Salud;28/07/2025;Emailing
